VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
556.000000000000000,1203-08-,Lassen Volc Center,US-California,Historical,3187.000000000000000,Stratovolcano,D2,40.4919014,-121.5009995
557.000000000000000,1203-10-,Clear Lake,US-California,Holocene,1439.000000000000000,Volcanic field,U,38.9698982,-122.7710037
558.000000000000000,1206-01-,Steamboat Springs,US-Nevada,Pleistocene-Fumarolic,1415.000000000000000,Lava domes,Q,39.3749008,-119.7210007
560.000000000000000,1208-01-,Dotsero,US-Colorado,Radiocarbon,2230.000000000000000,Maar,D7,39.6500015,-107.0309982
561.000000000000000,1203-11-,Mono Lake Volc Field,US-California,Tephrochronology,2121.000000000000000,Cinder cones,D4,37.9999008,-119.0309982
562.000000000000000,1207-05-,Black Rock Desert,US-Utah,Radiocarbon,1800.000000000000000,Volcanic field,D6,38.9700012,-112.5009995
563.000000000000000,1203-12-,Mono Craters,US-California,Radiocarbon,2796.000000000000000,Lava domes,D6,37.8799019,-119.0009995
564.000000000000000,1203-13-,Inyo Craters,US-California,Radiocarbon,2629.000000000000000,Lava domes,D6,37.6918983,-119.0210037
565.000000000000000,1203-14-,Long Valley,US-California,Pleistocene-Fumarolic,3390.000000000000000,Caldera,Q,37.6999016,-118.8710022
566.000000000000000,1203-15-,Red Cones,US-California,Radiocarbon,2748.000000000000000,Cinder cones,D7,37.5798988,-119.0510025
568.000000000000000,1203-16-,Ubehebe Craters,US-California,Anthropology,752.000000000000000,Maars,D7,37.0199013,-117.4509964
569.000000000000000,1207-04-,Markagunt Plateau,US-Utah,Dendrochronology,2840.000000000000000,Volcanic field,D6,37.5800018,-112.6709976
570.000000000000000,1207-01-,Santa Clara,US-Utah,Holocene?,1465.000000000000000,Volcanic field,?,37.2570000,-113.6210022
571.000000000000000,1207-03-,Bald Knoll,US-Utah,Holocene,2135.000000000000000,Cinder cones,U,37.3279991,-112.4010010
572.000000000000000,1203-17-,Golden Trout Creek,US-California,Tephrochronology,2886.000000000000000,Volcanic field,D7,36.3578987,-118.3209991
574.000000000000000,1203-18-,Coso Volc Field,US-California,Holocene?,2400.000000000000000,Lava domes,?,36.0298996,-117.8209991
576.000000000000000,1209-01-,Uinkaret Field,US-Arizona,Anthropology,1555.000000000000000,Volcanic field,D6,36.3800011,-113.1309967
579.000000000000000,1203-19-,Lavic Lake,US-California,Holocene?,1495.000000000000000,Volcanic field,?,34.7500000,-116.6210022
580.000000000000000,1210-03-,Valles Caldera,US-New Mexico,Pleistocene-Fumarolic,3430.000000000000000,Caldera,Q,35.8699989,-106.5709991
581.000000000000000,1209-02-,Sunset Crater,US-Arizona,Dendrochronology,2447.000000000000000,Cinder cone,D6,35.3699989,-111.5009995
584.000000000000000,1203-20-,Amboy,US-California,Holocene,288.000000000000000,Cinder cone,U,34.5499992,-115.7809982
586.000000000000000,1210-02-,Zuni-Bandera,US-New Mexico,Anthropology,2550.000000000000000,Volcanic field,D7,34.7999992,-108.0009995
588.000000000000000,1210-01-,Carrizozo,US-New Mexico,Holocene,1731.000000000000000,Cinder cone,U,33.7801018,-105.9309998
509,1201-04,Askja,Iceland,n/a,1516,volcano,n/a,65.03,-16.75
509,12345,BÃ¡rÃ°arbunga,Iceland,n/a,2005,volcano,n/a,64.64,-17.56
509,12345,BrennisteinsfjÃ¶ll,Iceland,n/a,626,volcano,n/a,63.92,-21.83
509,12345,Eldfell,Iceland,n/a,279,volcano,n/a,63.43,-20.25
509,12345,EldgjÃ¡,Iceland,n/a,800,volcano,n/a,64.24,-18.37
509,12345,EsjufjÃ¶ll,Iceland,n/a,1760,volcano,n/a,64.27,-16.65
509,12345,EyjafjallajÃ¶kull,Iceland,n/a,1666,volcano,n/a,63.63,-19.62
509,1201-04,FremrinÃ¡mur,Iceland,n/a,939,volcano,n/a,65.43,-16.65
509,12345,Grensdalur,Iceland,n/a,497,volcano,n/a,64.02,-21.17
509,12345,GrÃ­msnes,Iceland,n/a,214,volcano,n/a,64.03,-20.87
509,12345,GrÃ­msvÃ¶tn,Iceland,n/a,1725,volcano,n/a,64.42,-17.33
509,12345,Hekla,Iceland,n/a,1491,volcano,n/a,63.98,-19.7
509,12345,Helgafell,Iceland,n/a,227,volcano,n/a,63.43,-20.26
509,12345,Hengill,Iceland,n/a,803,volcano,n/a,64.18,-21.33
509,1201-04,HerÃ°ubreiÃ°,Iceland,n/a,1682,volcano,n/a,65.18,-16.34
509,12345,HofsjÃ¶kull,Iceland,n/a,1782,volcano,n/a,64.85,-19.53
509,12345,Holuhraun,Iceland,n/a,778,volcano,n/a,64.84,-16.83
509,12345,HrÃ³mundartindur,Iceland,n/a,540,volcano,n/a,64.07,-21.2
509,12345,Hveravellir,Iceland,n/a,1360,volcano,n/a,64.75,-19.98
509,12345,Hverfjall,Iceland,n/a,420,volcano,n/a,65.36,-16.53
509,12345,JÃ³lnir,Iceland,n/a,0,volcano,n/a,63.3,-20.63
509,1201-04,Katla,Iceland,n/a,1512,volcano,n/a,63.63,-19.05
509,12345,KerlingarfjÃ¶ll,Iceland,n/a,1488,volcano,n/a,64.63,-19.32
509,12345,Kolbeinsey Ridge,Iceland,n/a,5,volcano,n/a,66.67,-18.5
509,12345,KollÃ³ttadyngja,Iceland,n/a,1177,volcano,n/a,65.22,-16.55
509,12345,Krafla,Iceland,n/a,650,volcano,n/a,65.73,-16.78
509,12345,Krakatindur,Iceland,n/a,300,volcano,n/a,63.55,-19.3
509,12345,KrÃ½suvÃ­k,Iceland,n/a,379,volcano,n/a,63.93,-22.1
509,1201-04,KverkfjÃ¶ll,Iceland,n/a,1920,volcano,n/a,64.65,-16.72
509,12345,Laki,Iceland,n/a,1725,volcano,n/a,64.06,-18.22
509,12345,LjÃ³sufjÃ¶ll,Iceland,n/a,988,volcano,n/a,64.87,-22.23
509,12345,Loki-FÃ¶grufjÃ¶ll,Iceland,n/a,1570,volcano,n/a,64.48,-17.8
509,12345,LÃ½suhÃ³ll,Iceland,n/a,540,volcano,n/a,64.87,-23.25
509,12345,Ã–rÃ¦fajÃ¶kull,Iceland,n/a,2119,volcano,n/a,64,-16.65
509,12345,PrestahnÃºkur,Iceland,n/a,1386,volcano,n/a,64.6,-20.6
509,1201-04,Reykjanes,Iceland,n/a,230,volcano,n/a,63.88,-22.5
509,12345,Reykjaneshryggur,Iceland,n/a,-80,volcano,n/a,63.67,-23.33
509,12345,SnÃ¦fellsjÃ¶kull,Iceland,n/a,1448,volcano,n/a,64.8,-23.78
509,12345,Surtsey,Iceland,n/a,174,volcano,n/a,63.3,-20.62
509,12345,Theistareykjarbunga,Iceland,n/a,564,volcano,n/a,65.88,-16.83
509,12345,Thordarhyrna,Iceland,n/a,0,volcano,n/a,64.12,-17
509,12345,Thrihnukagigur,Iceland,n/a,550,volcano,n/a,63.99,-21.7
509,1201-04,TindfjallajÃ¶kull,Iceland,n/a,1463,volcano,n/a,63.78,-19.57
509,12345,TorfajÃ¶kull,Iceland,n/a,1259,volcano,n/a,63.92,-19.17
509,12345,TrÃ¶lladyngja,Iceland,n/a,1468,volcano,n/a,64.89,-17.25
509,12345,TungnafellsjÃ¶kull,Iceland,n/a,1535,volcano,n/a,64.73,-17.92
509,12345,VatnafjÃ¶ll,Iceland,n/a,1235,volcano,n/a,63.92,-19.67
509,12345,ÃžÃ³rÃ³lfsfell,Iceland,n/a,574,volcano,n/a,63.72,-19.67
